a,Straw_ID,Length,Diameter_u,Angle_v,Angle_h
,,,,,
,1,150,6.08,0,False
,1,155,6.19,1.99,
,1,190,5.74,1.77,
,1,228,5.33,4.53,
,1,215,5.2,1.01,
,1,200,4.73,4.5,
,1,175,4.3,2.36,
,,,,,
,2,150,6,0,False
,2,155,6,2.2,
,2,190,5.7,2.97,
,2,225,5.29,6.26,
,2,215,5.09,3.97,
,2,200,4.67,12.25,
,2,175,4.19,9.78,
,,,,,
,3,110,6.55,0,False
,3,152,6.18,0,
,3,207,5.96,3.56,
,3,239,5.66,7.66,
,3,230,5.47,3.45,
,3,252,4.98,4.54,
,,,,,
,4,110,6.57,0,False
,4,153,6.09,5.56,
,4,213,5.64,0,False
,4,246,5.4,0,False
,4,248,5.08,1.61,
,4,240,4.54,1.78,
,,,,,
,5,197,6.13,0,False
,5,245,5.58,2.79,
,5,240,5.32,2.11,
,5,203,5.08,0,False
,5,213,4.66,12.88,
,5,200,4.49,3.78,
